"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"3x3","3x3-seeded-random","-1","95","11","0.611111","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","95","11","0.611111","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","95","12","0.666667","1","2","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","95","12","0.666667","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","95","12","0.666667","3","2","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","95","13","0.722222","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","95","13","0.722222","2","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","95","13","0.722222","3","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","95","14","0.777778","1","2","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","95","14","0.777778","2","2","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","95","14","0.777778","3","2","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","95","15","0.833333","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","95","15","0.833333","2","1","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","95","15","0.833333","3","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","95","16","0.888889","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","95","16","0.888889","2","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","95","16","0.888889","3","2","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","95","17","0.944444","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","95","17","0.944444","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","95","17","0.944444","3","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","95","18","1.000000","1","2","O00","objective","S01","LL"
"3x3","3x3-seeded-random","-1","95","18","1.000000","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","95","18","1.000000","3","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","96","1","0.055556","1","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","96","1","0.055556","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","96","1","0.055556","3","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","96","2","0.111111","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","96","2","0.111111","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","96","2","0.111111","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","96","3","0.166667","1","1","O12","objective","S13","MH"
"3x3","3x3-seeded-random","-1","96","3","0.166667","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","96","3","0.166667","3","1","O20","objective","S30","HL"
"3x3","3x3-seeded-random","-1","96","4","0.222222","1","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","96","4","0.222222","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","96","4","0.222222","3","2","O12","objective","S12","MH"
"3x3","3x3-seeded-random","-1","96","5","0.277778","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","96","5","0.277778","2","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","96","5","0.277778","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","96","6","0.333333","1","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","96","6","0.333333","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","96","6","0.333333","3","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","96","7","0.388889","1","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","96","7","0.388889","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","96","7","0.388889","3","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","96","8","0.444444","1","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","96","8","0.444444","2","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","96","8","0.444444","3","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","96","9","0.500000","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","96","9","0.500000","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","96","9","0.500000","3","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","96","10","0.555556","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","96","10","0.555556","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","96","10","0.555556","3","2","O12","objective","S23","MH"
"3x3","3x3-seeded-random","-1","96","11","0.611111","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","96","11","0.611111","2","1","O22","objective","S33","HH"
"3x3","3x3-seeded-random","-1","96","11","0.611111","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","96","12","0.666667","1","2","O02","objective","S03","LH"
"3x3","3x3-seeded-random","-1","96","12","0.666667","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","96","12","0.666667","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","96","13","0.722222","1","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","96","13","0.722222","2","1","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","96","13","0.722222","3","1","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","96","14","0.777778","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","96","14","0.777778","2","2","O22","objective","S23","HH"
"3x3","3x3-seeded-random","-1","96","14","0.777778","3","2","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","96","15","0.833333","1","1","O10","objective","S21","ML"
"3x3","3x3-seeded-random","-1","96","15","0.833333","2","1","O20","objective","S20","HL"
"3x3","3x3-seeded-random","-1","96","15","0.833333","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","96","16","0.888889","1","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","96","16","0.888889","2","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","96","16","0.888889","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","96","17","0.944444","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","96","17","0.944444","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","96","17","0.944444","3","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","96","18","1.000000","1","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","96","18","1.000000","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","96","18","1.000000","3","2","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","97","1","0.055556","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","97","1","0.055556","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","97","1","0.055556","3","1","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","97","2","0.111111","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","97","2","0.111111","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","97","2","0.111111","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","97","3","0.166667","1","1","O10","objective","S11","ML"
"3x3","3x3-seeded-random","-1","97","3","0.166667","2","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","97","3","0.166667","3","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","97","4","0.222222","1","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","97","4","0.222222","2","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","97","4","0.222222","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","97","5","0.277778","1","1","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","97","5","0.277778","2","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","97","5","0.277778","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","97","6","0.333333","1","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","97","6","0.333333","2","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","97","6","0.333333","3","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","97","7","0.388889","1","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","97","7","0.388889","2","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","97","7","0.388889","3","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","97","8","0.444444","1","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","97","8","0.444444","2","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","97","8","0.444444","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","97","9","0.500000","1","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","97","9","0.500000","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","97","9","0.500000","3","1","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","97","10","0.555556","1","2","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","97","10","0.555556","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","97","10","0.555556","3","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","97","11","0.611111","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","97","11","0.611111","2","1","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","97","11","0.611111","3","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","97","12","0.666667","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","97","12","0.666667","2","2","O22","objective","S32","HH"
"3x3","3x3-seeded-random","-1","97","12","0.666667","3","2","O11","objective","S12","MM"
"3x3","3x3-seeded-random","-1","97","13","0.722222","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","97","13","0.722222","2","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","97","13","0.722222","3","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","97","14","0.777778","1","2","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","97","14","0.777778","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","97","14","0.777778","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","97","15","0.833333","1","1","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","97","15","0.833333","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","97","15","0.833333","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","97","16","0.888889","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","97","16","0.888889","2","2","S03","supply","","LH"
"3x3","3x3-seeded-random","-1","97","16","0.888889","3","2","O00","objective","S01","LL"
"3x3","3x3-seeded-random","-1","97","17","0.944444","1","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","97","17","0.944444","2","1","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","97","17","0.944444","3","1","O21","objective","S22","HM"
"3x3","3x3-seeded-random","-1","97","18","1.000000","1","2","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","97","18","1.000000","2","2","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","97","18","1.000000","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","98","1","0.055556","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","98","1","0.055556","2","1","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","98","1","0.055556","3","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","98","2","0.111111","1","2","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","98","2","0.111111","2","2","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","98","2","0.111111","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","98","3","0.166667","1","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","98","3","0.166667","2","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","98","3","0.166667","3","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","98","4","0.222222","1","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","98","4","0.222222","2","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","98","4","0.222222","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","98","5","0.277778","1","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","98","5","0.277778","2","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","98","5","0.277778","3","1","S30","supply","","HL"
"3x3","3x3-seeded-random","-1","98","6","0.333333","1","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","98","6","0.333333","2","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","98","6","0.333333","3","2","S32","supply","","HM"
"3x3","3x3-seeded-random","-1","98","7","0.388889","1","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","98","7","0.388889","2","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","98","7","0.388889","3","1","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","98","8","0.444444","1","2","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","98","8","0.444444","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","98","8","0.444444","3","2","O21","objective","S32","HM"
"3x3","3x3-seeded-random","-1","98","9","0.500000","1","1","O22","objective","S22","HH"
"3x3","3x3-seeded-random","-1","98","9","0.500000","2","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","98","9","0.500000","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","98","10","0.555556","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","98","10","0.555556","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","98","10","0.555556","3","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","98","11","0.611111","1","1","O02","objective","S02","LH"
"3x3","3x3-seeded-random","-1","98","11","0.611111","2","1","O11","objective","S11","MM"
"3x3","3x3-seeded-random","-1","98","11","0.611111","3","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","98","12","0.666667","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","98","12","0.666667","2","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","98","12","0.666667","3","2","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","98","13","0.722222","1","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","98","13","0.722222","2","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","98","13","0.722222","3","1","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","98","14","0.777778","1","2","S23","supply","","MH"
"3x3","3x3-seeded-random","-1","98","14","0.777778","2","2","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","98","14","0.777778","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","98","15","0.833333","1","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","98","15","0.833333","2","1","O21","objective","S31","HM"
"3x3","3x3-seeded-random","-1","98","15","0.833333","3","1","S12","supply","","LM"
"3x3","3x3-seeded-random","-1","98","16","0.888889","1","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","98","16","0.888889","2","2","O12","objective","S13","MH"
"3x3","3x3-seeded-random","-1","98","16","0.888889","3","2","O00","objective","S00","LL"
"3x3","3x3-seeded-random","-1","98","17","0.944444","1","1","O01","objective","S02","LM"
"3x3","3x3-seeded-random","-1","98","17","0.944444","2","1","O11","objective","S21","MM"
"3x3","3x3-seeded-random","-1","98","17","0.944444","3","1","O02","objective","S12","LH"
"3x3","3x3-seeded-random","-1","98","18","1.000000","1","2","O10","objective","S10","ML"
"3x3","3x3-seeded-random","-1","98","18","1.000000","2","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","98","18","1.000000","3","2","O01","objective","S01","LM"
"3x3","3x3-seeded-random","-1","99","1","0.055556","1","1","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","99","1","0.055556","2","1","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","99","1","0.055556","3","1","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","99","2","0.111111","1","2","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","99","2","0.111111","2","2","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","99","2","0.111111","3","2","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","99","3","0.166667","1","1","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","99","3","0.166667","2","1","S01","supply","","LL"
"3x3","3x3-seeded-random","-1","99","3","0.166667","3","1","S10","supply","","LL"
"3x3","3x3-seeded-random","-1","99","4","0.222222","1","2","S20","supply","","ML"
"3x3","3x3-seeded-random","-1","99","4","0.222222","2","2","S22","supply","","MM"
"3x3","3x3-seeded-random","-1","99","4","0.222222","3","2","S21","supply","","ML"
"3x3","3x3-seeded-random","-1","99","5","0.277778","1","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","99","5","0.277778","2","1","S02","supply","","LM"
"3x3","3x3-seeded-random","-1","99","5","0.277778","3","1","S31","supply","","HL"
"3x3","3x3-seeded-random","-1","99","6","0.333333","1","2","O12","objective","S22","MH"
"3x3","3x3-seeded-random","-1","99","6","0.333333","2","2","S33","supply","","HH"
"3x3","3x3-seeded-random","-1","99","6","0.333333","3","2","S00","supply","","LL"
"3x3","3x3-seeded-random","-1","99","7","0.388889","1","1","S13","supply","","LH"
"3x3","3x3-seeded-random","-1","99","7","0.388889","2","1","O01","objective","S11","LM"
"3x3","3x3-seeded-random","-1","99","7","0.388889","3","1","O20","objective","S31","HL"
"3x3","3x3-seeded-random","-1","99","8","0.444444","1","2","S11","supply","","LL"
"3x3","3x3-seeded-random","-1","99","8","0.444444","2","2","S11","supply","","LL"
